gene
ARID5A
SPRTN
SIRT2
RAD27
TMEM67
NLRP3
CISD2
A2M
ADH1B
ADH5
AGTR1
ALDH2
ALDH9A1
APEX1
APOC3
ARHGAP1
ARNTL
ATP5O
AXL
BLM
FOXL2
BRCA2
C1QA
CD9
CEBPA
CETP
ERCC8
CLU
CNR1
CSF2RB
CTGF
CD55
DBN1
DLAT
EEF1A1
EEF2
EMD
EPS8
ERCC1
ERCC2
ERCC3
ERCC4
ERCC5
ERCC6
ESR1
EFEMP1
FEN1
FLT1
XRCC6
GCLC
GCLM
GPX1
GPX4
GRN
NR3C1
GSK3A
GSR
GSS
GSTA4
GSTP1
GTF2H2
H2AFX
HTT
HELLS
NRG1
HIC1
HMGB2
HOXB7
HOXC4
HSF1
HSPA9
HSPD1
IGFBP1
IGFBP2
KCNA3
FADS1
LRP2
MXD1
MIF
MLH1
MMP10
MMP12
MSRA
MT1E
MT-CO1
NUDT1
MXI1
NFE2L1
NFE2L2
PRDX1
PAPPA
PCMT1
PIN1
PMCH
PML
POLA1
POLB
POLD1
POLG
PON1
PPARA
MED1
PROP1
PEX5
PYCR1
RAD51
RAD52
RFC4
RPA1
S100B
CCL1
CCL3
CCL7
CCL20
CXCL6
CXCL5
SLC13A1
SNCG
SOD1
TAF1
TBP
TERC
TERF1
TERF2
TERT
TFAP2A
TIMP2
TOP1
TOP2A
TOP2B
TP53BP1
TPP2
TRPS1
TXN
UBE2I
SUMO1
UCHL1
UCP1
UCP2
UCP3
VCP
TRPV1
WRN
XPA
XRCC5
RAE1
TP63
DGAT1
HDAC3
TOP3B
RGN
KCNAB3
RECQL4
GDF15
EEF1E1
CLOCK
NCOR1
TRAP1
TOPORS
GDF11
COQ7
ZMPSTE24
STUB1
CCL26
RACK1
AGPAT2
SUN1
SIRT3
CBX7
SIN3A
BSCL2
HBP1
CHCHD2
SIRT7
SIRT6
APTX
EIF5A2
RET
SDHC
APOE
APP
IL1A
EP300
FOS
GH1
GHR
GHRH
GHRHR
JAK2
PLCG2
POU1F1
PTK2
SST
SSTR3
STAT3
STAT5A
STAT5B
EGR1
PTK2B
FBP1
GCK
GRB2
GSK3B
IKBKB
PCK1
PDPK1
PPP1CA
MAPK3
MAPK8
MAPK9
PTPN1
SHC1
SOCS2
RORA
MMP14
CEBPB
MMP1
MMP3
MMP13
CTF1
EPOR
IFNB1
IL2
IL2RG
IL6ST
IL7
IL7R
LEP
LEPR
PTPN11
PLAUR
SERPINB2
BMI1
TCF3
HESX1
PECAM1
PTGS2
SP1
NOG
BMP2
BMP6
NCOR2
DLL3
PSEN1
CSNK1E
CTNNB1
JUN
MMP7
CCNA2
CDKN2B
MAPK14
E2F1
FOXM1
IL6
CXCL8
MYC
NBN
RB1
TGFB1
SQSTM1
PIK3CA
PIK3CB
PIK3CD
PIK3R1
PIK3R2
PPARG
PRKAA1
PRKAA2
PRKAB1
PRKAB2
PRKACA
PRKACB
PRKACG
PRKAG1
RELA
RHEB
RPS6KB1
RPS6KB2
SOD2
STK11
TP53
TSC1
TSC2
ULK1
KRAS
PIK3R3
IRS2
KL
ADIPOQ
EIF4E2
ATG5
CREB5
ATG13
RB1CC1
AKT3
CREB3
CAMKK2
PPARGC1A
EHMT2
SIRT1
APPL1
SESN1
ADIPOR1
PRKAG2
PRKAG3
RPTOR
ATG101
CREB3L2
ADIPOR2
SESN3
IRS4
EIF4E1B
ADCY4
CREB3L4
EHMT1
CREB3L1
CREB3L3
AKT1S1
SESN2
ADCY1
ADCY2
ADCY3
ADCY5
ADCY6
ADCY7
ADCY8
ADCY9
AKT1
AKT2
ATF4
BAX
CAMK4
CAT
CREB1
ATF2
ATF6B
EIF4E
EIF4EBP1
FOXO1
FOXO3
MTOR
HRAS
IGF1
IGF1R
INS
INSR
IRS1
NFKB1
NRAS
BAK1
LMNA
LMNB1
AIFM1
HTRA2
BRCA1
ELN
HGF
HSP90AA1
ITGA2
PRKCA
TNF
WNT2
RICTOR
CALR
HMGB1
PRKCD
UBB
PTEN
TP73
PPM1D
CHEK2
CYCS
FAS
ATM
ATR
BCL2
CDK1
CDKN1A
CDKN2A
IGFBP3
MDM2
SERPINE1
ABL1
BUB1B
CDK7
HDAC1
HDAC2
PCNA
PRKDC
TFDP1
YWHAZ
BUB3
FOXO4
CREBBP
ENO1
ENO2
GAPDH
HIF1A
HK3
TIMP1
VEGFA
PLAU
PLCG1
PRKCB
PRKCQ
RELB
CCL4
CCL13
CCL19
CCL21
CXCL12
SYK
MAP3K7
TLR4
TNFAIP3
TRAF1
TRAF2
TRAF3
TRAF6
VCAM1
ZAP70
TRIM25
IKBKG
TNFSF11
TRADD
RIPK1
TNFSF14
TNFRSF11A
CFLAR
BCL10
MAP3K14
TAB1
TNFSF13B
TAB2
DDX58
CARD10
PIAS4
PIDD1
TICAM1
EDARADD
TNFRSF13C
TIRAP
PARP1
BIRC2
BIRC3
XIAP
BCL2A1
BCL2L1
BTK
CD14
CD40LG
CXCL1
CXCL2
IL1R1
NFKBIA
IL2RB
IL15
TNFRSF11B
TNFRSF1B
TNFRSF10C
GRIA2
MYLK
AR
AREG
BDNF
CACNA1A
CDC42
DDIT3
EGF
EGFR
ERBB2
FGF7
FGFR1
FGFR3
HSPA1A
HSPA1B
HSPA8
IGF2
IL1B
JUND
MAPT
MAX
MAP3K5
MYD88
NFKB2
NGF
NGFR
PDGFB
PDGFRA
PDGFRB
TNFRSF1A
VEGFC
FGF23
RPS6KA5
FGF21
MMP2
PTGES
AARS1
MVK
PIGF
PSAT1
DCTN1
